"";"icao";"uf";"ibge";"long";"lat";"nat.centrality";"nat.module";"int.centrality";"int.module";"nat.degree";"int.degree";"dif.degree";"nat.strength";"int.strength";"dif.strength";"nat.fligths";"int.fligths";"n.nat.fligths";"n.int.fligths"
"304";"SWAE";"RR";1400050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"305";"SWBC";"AM";1300409;-62,919601;-0,981292;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"306";"SWBI";"AM";1300508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"307";"SWBR";"AM";1300805;-59,60240173;-4,406340122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"308";"SWBU";"MT";5106422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"309";"SWBV";"RR";1400027;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"310";"SWCB";"GO";5204904;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"311";"SWCI";"MT";5101407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"312";"SWCP";"MT";5102637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"313";"SWCQ";"RO";1100080;-64,25160217;-12,42109966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"314";"SWDE";"GO";5220207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"315";"SWDM";"MT";5103502;-56,40039825;-14,37689972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"316";"SWEE";"AM";1300201;-71,56555556;-4,528611111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"317";"SWEK";"MT";5102702;-52,2705574;-13,57444382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"318";"SWFJ";"AC";1200302;-70,34722222;-8,140833333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"319";"SWGI";"TO";1709500;-49,13219833;-11,73960018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"320";"SWGP";"GO";5215702;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"321";"SWHG";"GO";5219308;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"322";"SWHT";"AM";1301704;-63,07210159;-7,532120228;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"323";"SWII";"AM";1303700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"324";"SWJP";"AM";1302108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"325";"SWJQ";"MS";5007802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"326";"SWJU";"MT";5105176;-58,48944473;-10,30583286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
